indicator_id,indicator_value,country_id,country_value,countryiso3code,date,value,unit,obs_status,decimal
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2019,201856013.686497,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2018,201522429.427424,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2017,202720683.376421,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2016,193556155.198286,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2015,182042491.632718,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2014,171231468.537929,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2013,162605371.415539,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2012,159170173.435193,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2011,155233946.579111,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2010,157336067.730403,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2009,158419130.150407,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2008,165005509.742419,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2007,164050585.813892,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2006,165382750.949921,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2005,167839740.288342,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2004,161110799.637893,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2003,148080474.859032,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2002,152947999.421305,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2001,155630805.097585,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,2000,161345288.461037,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,1999,154422845.400535,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,1998,152444257.945676,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,1997,147782609.742469,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,1996,144212163.49535,,,0
ST.INT.ARVL,"International tourism, number of arrivals",ZJ,Latin America & Caribbean,LCN,1995,140093252.22234,,,0
